airs_aqua,MERRA-2 Hourly Monthly Gridded Innovations and Observation AIRS_AQUA,M2_HOURLY_AIRS_AQUA,10.5067/MEASURES/MERRA2_HOURLY_AIRS_AQUA
amsua_aqua,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUA_AQUA,M2_HOURLY_AMSUA_AQUA,10.5067/MEASURES/MERRA2_HOURLY_AMSUA_AQUA
amsua_metop-a,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUA_METOP-A,M2_HOURLY_AMSUA_METOP-A,10.5067/MEASURES/MERRA2_HOURLY_AMSUA_METOP-A
amsua_metop-b,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUA_METOP-B,M2_HOURLY_AMSUA_METOP-B,10.5067/MEASURES/MERRA2_HOURLY_AMSUA_METOP-B
amsua_n15,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUA_N15,M2_HOURLY_AMSUA_N15,10.5067/MEASURES/MERRA2_HOURLY_AMSUA_N15
amsua_n16,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUA_N16,M2_HOURLY_AMSUA_N16,10.5067/MEASURES/MERRA2_HOURLY_AMSUA_N16
amsua_n17,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUA_N17,M2_HOURLY_AMSUA_N17,10.5067/MEASURES/MERRA2_HOURLY_AMSUA_N17
amsua_n18,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUA_N18,M2_HOURLY_AMSUA_N18,10.5067/MEASURES/MERRA2_HOURLY_AMSUA_N18
amsua_n19,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUA_N19,M2_HOURLY_AMSUA_N19,10.5067/MEASURES/MERRA2_HOURLY_AMSUA_N19
amsub_n15,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUB_N15,M2_HOURLY_AMSUB_N15,10.5067/MEASURES/MERRA2_HOURLY_AMSUB_N15
amsub_n16,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUB_N16,M2_HOURLY_AMSUB_N16,10.5067/MEASURES/MERRA2_HOURLY_AMSUB_N16
amsub_n17,MERRA-2 Hourly Monthly Gridded Innovations and Observation AMSUB_N17,M2_HOURLY_AMSUB_N17,10.5067/MEASURES/MERRA2_HOURLY_AMSUB_N17
atms_npp,MERRA-2 Hourly Monthly Gridded Innovations and Observation ATMS_NPP,M2_HOURLY_ATMS_NPP,10.5067/MEASURES/MERRA2_HOURLY_ATMS_NPP
cris_npp,MERRA-2 Hourly Monthly Gridded Innovations and Observation CRIS_NPP,M2_HOURLY_CRIS_NPP,10.5067/MEASURES/MERRA2_HOURLY_CRIS_NPP
hirs2_n06,MERRA-2 Hourly Monthly Gridded Innovations and Observation HIRS2_N06,M2_HOURLY_HIRS2_N06,10.5067/MEASURES/MERRA2_HOURLY_HIRS2_N06
hirs2_n07,MERRA-2 Hourly Monthly Gridded Innovations and Observation HIRS2_N07,M2_HOURLY_HIRS2_N07,10.5067/MEASURES/MERRA2_HOURLY_HIRS2_N07
hirs2_n08,MERRA-2 Hourly Monthly Gridded Innovations and Observation HIRS2_N08,M2_HOURLY_HIRS2_N08,10.5067/MEASURES/MERRA2_HOURLY_HIRS2_N08
hirs2_n09,MERRA-2 Hourly Monthly Gridded Innovations and Observation HIRS2_N09,M2_HOURLY_HIRS2_N09,10.5067/MEASURES/MERRA2_HOURLY_HIRS2_N09
hirs2_n10,MERRA-2 Hourly Monthly Gridded Innovations and Observation HIRS2_N10,M2_HOURLY_HIRS2_N10,10.5067/MEASURES/MERRA2_HOURLY_HIRS2_N10
hirs2_n11,MERRA-2 Hourly Monthly Gridded Innovations and Observation HIRS2_N11,M2_HOURLY_HIRS2_N11,10.5067/MEASURES/MERRA2_HOURLY_HIRS2_N11
